audit_id,table_name,record_id,operation,changed_by,change_time,change_summary
1,customers,112,INSERT,admin,2021-11-09,Updated status
2,branches,500,DELETE,admin,2019-02-23,Automated job
3,accounts,752,DELETE,emp300,2021-05-27,Removed duplicate
4,loan_applications,427,UPDATE,emp667,2023-01-20,Created record
5,accounts,39,DELETE,admin,2020-08-23,Removed duplicate
6,loan_applications,784,UPDATE,system,2018-11-29,Corrected amount
7,payments,383,INSERT,system,2021-12-10,Corrected amount
8,employees,759,INSERT,emp130,2025-08-21,Automated job
9,credit_reports,470,UPDATE,emp397,2018-08-19,Automated job
10,accounts,315,DELETE,admin,2019-01-09,Updated status
11,payments,111,DELETE,system,2024-03-22,Created record
12,loan_applications,104,UPDATE,admin,2022-02-27,Automated job
13,credit_reports,59,INSERT,admin,2024-10-15,Removed duplicate
14,loans,446,INSERT,system,2022-05-03,Automated job
15,loan_applications,278,DELETE,admin,2021-07-09,Removed duplicate
16,customers,981,UPDATE,system,2022-10-21,Created record
17,loans,252,UPDATE,emp18,2018-12-02,Corrected amount
18,accounts,184,DELETE,system,2018-04-14,Created record
19,loan_applications,27,UPDATE,emp441,2024-08-28,Corrected amount
20,loans,24,INSERT,admin,2019-03-24,Removed duplicate
21,accounts,796,INSERT,admin,2021-05-16,Updated status
22,payment_schedule,179,INSERT,admin,2019-07-17,Corrected amount
23,employees,690,DELETE,admin,2022-01-12,Removed duplicate
24,customers,745,DELETE,emp487,2021-03-28,Created record
25,payments,984,UPDATE,emp153,2018-06-11,Removed duplicate
26,payments,323,UPDATE,admin,2020-05-18,Removed duplicate
27,employees,514,UPDATE,system,2024-06-24,Removed duplicate
28,loan_applications,214,DELETE,admin,2022-01-28,Updated status
29,loans,547,UPDATE,emp890,2021-07-28,Corrected amount
30,loans,123,UPDATE,emp277,2021-04-09,Updated status
31,employees,952,INSERT,emp296,2024-02-21,Removed duplicate
32,accounts,912,UPDATE,emp241,2024-01-24,Automated job
33,credit_reports,572,UPDATE,emp749,2022-10-12,Corrected amount
34,loan_products,951,UPDATE,admin,2019-09-24,Corrected amount
35,branches,582,DELETE,admin,2020-02-26,Updated status
36,accounts,340,DELETE,admin,2025-08-29,Created record
37,loan_products,335,UPDATE,emp981,2023-12-08,Automated job
38,customers,889,UPDATE,admin,2021-10-23,Automated job
39,credit_reports,341,UPDATE,emp356,2025-01-14,Corrected amount
40,loans,993,DELETE,system,2020-09-05,Removed duplicate
41,branches,867,UPDATE,system,2023-08-20,Created record
42,loan_applications,970,UPDATE,emp562,2021-07-05,Created record
43,loan_applications,101,DELETE,system,2021-06-15,Created record
44,loans,469,UPDATE,system,2025-02-11,Removed duplicate
45,branches,128,UPDATE,admin,2021-10-22,Created record
46,payments,645,INSERT,admin,2020-09-29,Removed duplicate
47,payments,307,INSERT,emp159,2019-05-20,Created record
48,payment_schedule,355,UPDATE,admin,2023-10-30,Created record
49,credit_reports,399,INSERT,system,2020-02-08,Corrected amount
50,loan_applications,22,DELETE,system,2022-11-26,Updated status
51,credit_reports,618,INSERT,system,2018-08-09,Corrected amount
52,loans,505,UPDATE,emp987,2024-06-13,Created record
53,payment_schedule,368,UPDATE,system,2020-02-26,Removed duplicate
54,loans,825,INSERT,emp198,2024-09-25,Updated status
55,employees,715,INSERT,emp703,2018-07-11,Automated job
56,loan_products,121,DELETE,emp988,2020-06-07,Automated job
57,accounts,483,INSERT,admin,2024-02-24,Created record
58,branches,970,UPDATE,system,2024-04-08,Automated job
59,loan_products,880,DELETE,system,2024-03-10,Removed duplicate
60,customers,711,UPDATE,system,2022-10-27,Automated job
61,credit_reports,954,INSERT,emp843,2018-12-29,Removed duplicate
62,loans,34,DELETE,emp556,2020-07-11,Automated job
63,employees,680,INSERT,emp503,2021-04-16,Automated job
64,branches,111,UPDATE,system,2021-06-02,Updated status
65,payments,287,UPDATE,admin,2023-10-18,Automated job
66,payment_schedule,490,DELETE,admin,2021-02-28,Updated status
67,loans,836,INSERT,system,2019-12-30,Corrected amount
68,customers,93,UPDATE,emp790,2025-06-21,Corrected amount
69,credit_reports,585,UPDATE,emp157,2018-05-25,Updated status
70,loans,861,INSERT,emp37,2018-02-14,Created record
71,accounts,389,DELETE,system,2018-09-05,Created record
72,accounts,235,DELETE,system,2022-01-31,Corrected amount
73,loan_applications,51,UPDATE,admin,2024-02-06,Created record
74,customers,869,DELETE,system,2019-01-11,Corrected amount
75,loans,396,UPDATE,system,2021-06-06,Updated status
76,employees,507,UPDATE,admin,2018-01-13,Corrected amount
77,employees,89,INSERT,emp514,2018-08-07,Updated status
78,payments,915,UPDATE,emp633,2020-04-11,Corrected amount
79,accounts,265,DELETE,system,2022-07-16,Corrected amount
80,accounts,381,INSERT,system,2020-05-29,Created record
81,customers,501,DELETE,emp958,2018-01-28,Corrected amount
82,payments,453,INSERT,system,2021-11-10,Removed duplicate
83,payments,916,INSERT,emp509,2020-11-20,Updated status
84,credit_reports,560,DELETE,emp623,2024-12-04,Created record
85,customers,779,INSERT,emp947,2019-11-22,Corrected amount
86,loans,23,INSERT,emp823,2023-01-15,Removed duplicate
87,payments,811,INSERT,system,2019-06-29,Corrected amount
88,loan_applications,1000,UPDATE,system,2021-04-26,Corrected amount
89,loan_products,100,INSERT,admin,2021-06-26,Automated job
90,credit_reports,179,INSERT,admin,2019-12-20,Removed duplicate
91,payment_schedule,788,DELETE,emp153,2024-12-22,Corrected amount
92,branches,676,DELETE,system,2023-04-21,Automated job
93,employees,208,UPDATE,emp492,2022-11-24,Created record
94,employees,538,UPDATE,admin,2025-06-30,Automated job
95,employees,649,INSERT,emp394,2023-12-16,Updated status
96,customers,901,DELETE,emp316,2021-06-09,Corrected amount
97,loan_applications,4,DELETE,emp477,2020-05-14,Updated status
98,branches,618,DELETE,emp489,2020-06-27,Automated job
99,loans,722,UPDATE,emp862,2024-08-23,Automated job
100,loan_applications,768,INSERT,emp509,2021-04-11,Automated job
101,customers,643,DELETE,system,2021-06-07,Corrected amount
102,payments,901,INSERT,admin,2021-04-21,Removed duplicate
103,payment_schedule,493,UPDATE,system,2021-10-17,Automated job
104,loan_products,256,INSERT,emp86,2018-10-16,Corrected amount
105,accounts,858,INSERT,emp737,2025-01-04,Automated job
106,employees,360,DELETE,admin,2023-12-22,Created record
