product_id,name,description,interest_rate_type,base_rate,term_months,min_amount,max_amount
1,LoanProd-0001 Auto,LoanProd-0001 Auto product for customers,VARIABLE,12.26,48,200000,1000000
2,LoanProd-0002 Personal,LoanProd-0002 Personal product for customers,VARIABLE,12.71,84,50000,10000000
3,LoanProd-0003 Agriculture,LoanProd-0003 Agriculture product for customers,VARIABLE,8.76,48,50000,1000000
4,LoanProd-0004 Gold,LoanProd-0004 Gold product for customers,FIXED,9.68,84,100000,500000
5,LoanProd-0005 Auto,LoanProd-0005 Auto product for customers,VARIABLE,12.57,36,10000,500000
6,LoanProd-0006 Auto,LoanProd-0006 Auto product for customers,VARIABLE,11.62,48,100000,10000000
7,LoanProd-0007 Home,LoanProd-0007 Home product for customers,VARIABLE,9.61,84,10000,10000000
8,LoanProd-0008 Education,LoanProd-0008 Education product for customers,FIXED,7.75,24,10000,500000
9,LoanProd-0009 Home,LoanProd-0009 Home product for customers,VARIABLE,6.86,36,10000,500000
10,LoanProd-0010 Business,LoanProd-0010 Business product for customers,FIXED,10.54,36,10000,500000
11,LoanProd-0011 Auto,LoanProd-0011 Auto product for customers,FIXED,7.85,36,50000,10000000
12,LoanProd-0012 Education,LoanProd-0012 Education product for customers,VARIABLE,12.67,84,50000,5000000
13,LoanProd-0013 Gold,LoanProd-0013 Gold product for customers,FIXED,8.25,120,100000,500000
14,LoanProd-0014 Education,LoanProd-0014 Education product for customers,FIXED,13.64,120,200000,10000000
15,LoanProd-0015 Gold,LoanProd-0015 Gold product for customers,FIXED,6.3,36,10000,500000
16,LoanProd-0016 Business,LoanProd-0016 Business product for customers,FIXED,13.8,60,10000,500000
17,LoanProd-0017 Home,LoanProd-0017 Home product for customers,VARIABLE,11.25,24,10000,1000000
18,LoanProd-0018 Gold,LoanProd-0018 Gold product for customers,VARIABLE,12.83,12,200000,500000
19,LoanProd-0019 Education,LoanProd-0019 Education product for customers,FIXED,13.01,60,10000,1000000
20,LoanProd-0020 Personal,LoanProd-0020 Personal product for customers,FIXED,6.98,120,50000,5000000
21,LoanProd-0021 Gold,LoanProd-0021 Gold product for customers,VARIABLE,8.42,36,50000,500000
22,LoanProd-0022 Auto,LoanProd-0022 Auto product for customers,VARIABLE,7.58,48,10000,10000000
23,LoanProd-0023 Gold,LoanProd-0023 Gold product for customers,FIXED,9.89,60,10000,1000000
24,LoanProd-0024 Gold,LoanProd-0024 Gold product for customers,VARIABLE,6.47,36,200000,500000
25,LoanProd-0025 Agriculture,LoanProd-0025 Agriculture product for customers,FIXED,12.33,12,50000,1000000
26,LoanProd-0026 Agriculture,LoanProd-0026 Agriculture product for customers,FIXED,10.66,36,10000,1000000
27,LoanProd-0027 Personal,LoanProd-0027 Personal product for customers,VARIABLE,11.35,12,50000,500000
28,LoanProd-0028 Personal,LoanProd-0028 Personal product for customers,FIXED,6.95,120,200000,5000000
29,LoanProd-0029 Personal,LoanProd-0029 Personal product for customers,FIXED,13.27,84,10000,1000000
30,LoanProd-0030 Business,LoanProd-0030 Business product for customers,VARIABLE,12.79,36,200000,10000000
31,LoanProd-0031 Personal,LoanProd-0031 Personal product for customers,VARIABLE,7.5,12,50000,500000
32,LoanProd-0032 Home,LoanProd-0032 Home product for customers,VARIABLE,8.41,12,200000,500000
33,LoanProd-0033 Agriculture,LoanProd-0033 Agriculture product for customers,VARIABLE,7.35,84,50000,500000
34,LoanProd-0034 Personal,LoanProd-0034 Personal product for customers,VARIABLE,13.02,12,50000,500000
35,LoanProd-0035 Personal,LoanProd-0035 Personal product for customers,FIXED,8.65,48,200000,1000000
36,LoanProd-0036 Business,LoanProd-0036 Business product for customers,FIXED,9.25,36,100000,5000000
37,LoanProd-0037 Auto,LoanProd-0037 Auto product for customers,VARIABLE,7.4,84,200000,5000000
38,LoanProd-0038 Home,LoanProd-0038 Home product for customers,FIXED,7.11,36,100000,10000000
39,LoanProd-0039 Education,LoanProd-0039 Education product for customers,FIXED,13.47,48,100000,5000000
40,LoanProd-0040 Business,LoanProd-0040 Business product for customers,VARIABLE,10.84,60,50000,500000
41,LoanProd-0041 Home,LoanProd-0041 Home product for customers,VARIABLE,6.85,84,100000,10000000
42,LoanProd-0042 Business,LoanProd-0042 Business product for customers,VARIABLE,13.51,48,50000,5000000
43,LoanProd-0043 Personal,LoanProd-0043 Personal product for customers,VARIABLE,13.09,120,50000,10000000
44,LoanProd-0044 Education,LoanProd-0044 Education product for customers,FIXED,9.65,48,200000,1000000
45,LoanProd-0045 Agriculture,LoanProd-0045 Agriculture product for customers,VARIABLE,9.24,12,100000,10000000
46,LoanProd-0046 Agriculture,LoanProd-0046 Agriculture product for customers,FIXED,9.81,84,10000,500000
47,LoanProd-0047 Personal,LoanProd-0047 Personal product for customers,VARIABLE,6.89,24,10000,10000000
48,LoanProd-0048 Gold,LoanProd-0048 Gold product for customers,VARIABLE,12.89,36,10000,10000000
49,LoanProd-0049 Agriculture,LoanProd-0049 Agriculture product for customers,FIXED,13.02,12,200000,10000000
